,it,emestar,rc,qest,sigmag_0,emed,apert,emetal,taugas
1593,199487.0,7.083514928817749e+32,34.888633728027344,8.691864013671875,26.73175797373669,0.023,0.30000001192092896,0.0019086779793724413,6666373.5
1594,199863.0,3.441347777843475e+32,39.00378799438477,3.722230672836304,25.10832832718885,0.027,0.30000001192092896,0.029266845434904095,3175514.5
1595,198619.0,1.1802998781204225e+33,41.8764533996582,10.702255249023438,25.81533712518209,0.032,0.30000001192092896,0.016335271298885345,6733865.5
1596,191355.0,3.759320676326752e+32,44.73956298828125,5.403498649597168,14.842375977450926,0.021,0.30000001192092896,-0.3384028375148773,1007160.375
1597,199812.0,4.509967565536498e+32,49.39086532592773,2.2133185863494877,35.95555763298572,0.062,0.30000001192092896,-0.318374902009964,7265929.5
1598,199075.0,1.1462270021438595e+33,45.89590072631836,4.625025749206543,49.699444428931244,0.07399999999999998,0.30000001192092896,-0.4269963502883911,5840705.5
1599,199934.0,8.787397742271422e+32,46.77433776855469,2.2008893489837646,77.5949683462148,0.12,0.30000001192092896,0.007650355808436871,1649150.875
1600,199978.0,5.144041776657104e+32,59.666954040527344,1.9453026056289675,33.77682307472013,0.085,0.30000001192092896,0.09260906279087065,1331342.75
1601,199898.0,1.16322124004364e+33,42.60755920410156,3.250860452651977,85.72095131031477,0.11,0.30000001192092896,0.07749126851558685,8667925.0
1602,199740.0,1.1719464063644408e+33,34.38084411621093,8.978070259094238,43.08608555295576,0.036,0.30000001192092896,0.308298259973526,1258726.125
1603,198033.0,2.6474228501319885e+32,53.05073547363281,4.301821708679199,9.55077011528346,0.019,0.30000001192092896,-0.08233071118593216,6276053.5
1604,199834.0,8.193933963775634e+32,62.20631408691406,4.833573341369629,20.107652030526737,0.055,0.30000001192092896,0.21237175166606906,1232602.25
1605,149881.0,3.44433456659317e+32,51.99336624145508,19.13493156433105,2.9306217190571915,0.0056,0.30000001192092896,0.16448260843753815,2157261.0
1606,199207.0,4.338753819465637e+32,39.7253303527832,5.035229682922363,22.41158556819119,0.025,0.30000001192092896,-0.18165796995162964,1527757.75
1607,198722.0,4.701355397701264e+32,46.22041320800781,7.661423206329346,11.919896016388448,0.018,0.30000001192092896,-0.04309487715363503,1137715.75
1608,193658.0,2.54910796880722e+32,50.13225173950195,3.579378604888916,12.38385523042091,0.022,0.30000001192092896,-0.20528885722160334,4943242.5
1609,198375.0,2.1213923394680023e+32,40.56292343139648,1.7496058940887451,30.093808851650795,0.035,0.30000001192092896,-0.498807430267334,5720120.5
1610,199744.0,1.1188859939575196e+33,59.95014953613281,4.918752670288086,28.734915733681735,0.07299999999999998,0.30000001192092896,0.1930338591337204,1438175.375
1611,199940.0,7.092888355255127e+32,52.84883499145508,6.554605484008789,17.221686932171487,0.034,0.30000001192092896,0.6078291535377502,2363436.0
1612,199941.0,5.196375846862793e+32,48.08836364746094,2.806687355041504,34.25907540645188,0.056,0.30000001192092896,-0.006582280155271293,2047755.75
1613,196788.0,8.993493318557737e+32,52.31386184692383,18.604600906372074,7.753991238838092,0.015,0.30000001192092896,0.06572548300027847,4630997.0
1614,181484.0,2.8823572397232053e+32,52.877906799316406,4.809630870819092,9.61330452953765,0.019,0.30000001192092896,-0.24480774998664856,1784679.25
1615,185292.0,2.1118038892745968e+32,42.99535369873047,11.251354217529297,4.209080643888892,0.0055,0.30000001192092896,0.2242826074361801,2013661.375
1616,123688.0,2.7431082725524902e+32,51.93859481811523,7.701889514923095,5.7687258843206575,0.011,0.30000001192092896,-0.16133207082748413,3894522.0
1617,199942.0,6.77300751209259e+32,65.94902038574217,4.982120990753174,14.637382614122686,0.045,0.30000001192092896,0.44474995136260986,2116812.5
1618,199947.0,8.590773344039916e+32,64.05989837646486,4.329208850860596,22.408277552804126,0.065,0.30000001192092896,0.5181363224983215,1148833.875
1619,199602.0,5.618785619735718e+32,60.5643196105957,3.956708192825317,17.741558009035675,0.046,0.30000001192092896,-0.17275160551071167,1342489.125
1620,198539.0,2.2022129595279694e+32,35.32408905029297,2.175423145294189,31.745611615919863,0.028,0.30000001192092896,-0.30567818880081177,2086577.625
1621,199242.0,8.80386471748352e+32,58.2667350769043,6.2632412910461435,18.75161838199504,0.045,0.30000001192092896,-0.19782346487045288,1428754.125
1622,199800.0,2.350137233734131e+32,45.30773162841797,1.37423837184906,35.147395350719364,0.051,0.30000001192092896,-0.2953647971153259,9638667.0
1623,199997.0,2.7408224344253536e+32,32.406261444091804,1.231297731399536,82.17497513260211,0.061,0.30000001192092896,0.06454573571681976,2746873.0
1624,199904.0,6.414830684661865e+32,46.05046844482422,6.707283973693848,19.346281482194886,0.029,0.30000001192092896,0.26813143491744995,5445846.5
1625,195528.0,4.641188383102417e+32,53.28918075561523,8.310009002685547,8.469123057939065,0.017,0.30000001192092896,0.009878556244075298,1622594.5
1626,187807.0,3.2703512907028195e+32,39.437416076660156,18.441225051879886,4.638962699296395,0.0051,0.30000001192092896,0.29186850786209106,2180296.25
1627,199641.0,1.0830674171447754e+33,63.35055541992188,5.618797779083252,22.207890371769942,0.063,0.30000001192092896,0.09238536655902863,1375298.25
1628,199779.0,5.461655259132385e+32,56.98915481567383,6.692584991455078,11.325477583994784,0.026,0.30000001192092896,0.22702018916606906,8154587.0
1629,199998.0,2.666623294353485e+32,35.533626556396484,2.2519335746765137,36.974514617886136,0.033,0.30000001192092896,0.32395946979522705,1145977.875
1630,199931.0,7.106736302375793e+32,45.61128234863281,5.883691310882568,24.480796568560155,0.036,0.30000001192092896,0.3603745102882385,2536875.5
1631,199955.0,4.538960754871368e+32,40.475528717041016,1.9800151586532595,57.85719184382316,0.067,0.30000001192092896,-0.20510201156139374,1370412.75
1632,155465.0,2.417390048503876e+32,42.22473907470703,8.481760025024414,6.665196324369226,0.008399999999999998,0.30000001192092896,-0.22214876115322116,5236960.5
1633,197705.0,2.7294561266899108e+32,41.26030349731445,8.6654634475708,7.645230789959322,0.0092,0.30000001192092896,0.17379443347454074,4735818.5
1634,199443.0,6.243664026260376e+32,50.6370735168457,9.005955696105957,11.586431731725725,0.021,0.30000001192092896,0.16085390746593475,9719307.0
1635,180716.0,3.7008962035179135e+32,40.3178825378418,8.703388214111328,10.443676835666253,0.012,0.30000001192092896,-0.18512497842311856,1304489.875
1636,199499.0,9.520325660705566e+32,43.767669677734375,5.783841133117676,36.18735501355199,0.049,0.30000001192092896,-0.22452983260154724,1741426.75
1637,199957.0,3.086651861667633e+32,38.29476165771485,2.205876111984253,38.587696920583326,0.04,0.30000001192092896,0.03150554746389389,3083083.0
1638,199638.0,6.528691053390503e+32,53.80683135986328,6.241919040679932,16.125259559492108,0.033,0.30000001192092896,-0.054280661046504974,2362765.75
1639,195946.0,3.9814355969429006e+32,33.22599411010743,9.408332824707031,15.377753241902726,0.012,0.30000001192092896,-0.15989606082439425,2677507.5
1640,199602.0,1.1145961284637453e+33,34.97418594360352,14.934188842773438,24.28799554602403,0.021,0.30000001192092896,0.4454606175422669,5866154.0
1641,199170.0,2.0294325053691863e+32,39.866947174072266,4.411306858062744,11.571375850148973,0.013,0.30000001192092896,0.12460106611251832,7628733.0
1642,194852.0,3.5175848007202146e+32,46.77108764648438,4.511009216308594,14.874435966160085,0.023,0.30000001192092896,-0.2980537712574005,2070152.375
1643,199983.0,7.783777713775634e+32,42.190425872802734,1.2406291961669922,143.05804833453087,0.18,0.30000001192092896,0.04844297841191292,5615377.5
1644,193015.0,2.1029695868492124e+32,44.968017578125,4.281357765197754,10.494249472029404,0.015,0.30000001192092896,-0.1721862405538559,4784299.0
1645,198906.0,3.986606895923614e+32,45.08530044555664,5.041274547576904,16.703555123916267,0.024,0.30000001192092896,-0.13540269434452054,2133515.5
1646,199593.0,1.1046648025512696e+33,46.61816787719727,11.414861679077148,18.877966198409567,0.029,0.30000001192092896,0.40084454417228693,8066190.0
1647,199940.0,6.705073118209839e+32,37.106666564941406,5.72516679763794,33.9060864944814,0.033,0.30000001192092896,0.26780009269714355,5522594.0
1648,195485.0,2.4395884573459623e+32,42.05234909057617,6.61139678955078,8.799941243137278,0.011,0.30000001192092896,0.04582754522562028,1492331.0
1649,197855.0,2.3631300032138824e+32,49.598976135253906,6.501253128051758,6.325791471012787,0.011,0.30000001192092896,0.2262234836816788,6412831.0
1650,197545.0,1.0817941427230835e+33,47.01380157470703,10.583966255187988,19.841685564534906,0.031,0.30000001192092896,-0.3405798673629761,6609707.5
1651,199902.0,1.0431394577026369e+33,54.42345428466797,3.074005603790283,52.53976040116172,0.11,0.30000001192092896,0.13975201547145846,1790855.25
1652,199649.0,2.709961533546448e+32,39.08268737792969,5.047339916229248,13.892807904063632,0.015,0.30000001192092896,0.15620648860931394,1457151.375
1653,199442.0,9.443932771682737e+32,52.621620178222656,5.7112908363342285,26.056096513281716,0.051,0.30000001192092896,-0.17800353467464447,2697733.0
1654,199966.0,4.082520008087158e+32,43.5684700012207,3.020277738571167,29.81144191666091,0.04,0.30000001192092896,0.11090726405382156,3140025.5
1655,199869.0,3.093204200267792e+32,46.89295196533203,3.093696594238281,19.300729229389532,0.03,0.30000001192092896,0.0431285947561264,9069629.0
1656,167188.0,2.5525543093681336e+32,46.550331115722656,9.532970428466799,5.288190347124676,0.008099999999999998,0.30000001192092896,-0.03960485756397247,3706456.75
1657,199836.0,2.83955842256546e+32,49.2259407043457,2.0418674945831294,24.52047343299392,0.042,0.30000001192092896,-0.005923066288232803,1923472.25
1658,189050.0,5.070925951004028e+32,47.93403625488281,15.012208938598633,6.157148230451037,0.01,0.30000001192092896,0.0019369180081412198,8649605.0
1659,197409.0,2.086946368217468e+32,58.23623657226562,5.0333170890808105,5.422809626224963,0.013,0.30000001192092896,0.18054066598415372,1012261.75
1660,199904.0,6.2085056304931634e+32,49.02869415283203,5.9595232009887695,18.83288849300803,0.032,0.30000001192092896,0.30618584156036377,4649775.0
1661,177900.0,5.893755555152893e+32,52.22755813598633,14.7296724319458,6.2237109291859065,0.012,0.30000001192092896,-0.1198972910642624,2447278.25
